Temp01,Hum01,Mean_Phosphorous,Mean_Nitrogen,Mean_Potassium,Mean_Moisture
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,99.0,155.0,135.0,97.0,1.0
28.5,99.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
28.5,96.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,100.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
28.5,95.0,155.0,135.0,97.0,1.0
