Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,pH Rod 1,pH Rod 2,Grams of Compost Harvested
Unit,Number,ppm,ppm,ppm,ppm,ppm,ppm,lux,DEG C,%,NIL,NIL,NIL,NIL,mV,g
"15 Apr 2024, 10:00 AM",30,54,56,142,142,132,122,29,32.7,80,95,1,1,121.85,-126.85,
"15 Apr 2024, 10:10 AM",30,54,56,142,142,110,120,29,32.7,81,95,1,1,117.67,-124.67,
"15 Apr 2024, 10:20 AM",30,54,56,140,140,132,123,29,32.7,81,93,1,1,117.29,-118.29,
"15 Apr 2024, 10:30 AM",30,54,56,140,140,129,123,29,32.7,80,90,1,1,115.58,-116.58,
"15 Apr 2024, 10:40 AM",30,54,56,140,140,131,123,29,32.7,79,95,1,1,120.51,-127.51,
"15 Apr 2024, 10:50 AM",30,54,56,140,140,131,123,29,32.7,78,94,1,1,121.42,-127.42,
"15 Apr 2024, 11:00 AM",30,0,0,0,0,0,0,29,33.8,79,93,1,1,116.24,-117.24,
"15 Apr 2024, 11:10 AM",30,0,0,0,0,0,0,29,35.3,77,90,1,1,196.41,-200.41,60g harvested here
"15 Apr 2024, 11:20 AM",30,0,0,0,0,0,0,29,35.0,76,90,1,1,197.43,-202.43,
"15 Apr 2024, 11:30 AM",30,0,0,0,0,0,0,29,34.9,78,93,1,1,196.71,-199.71,
"15 Apr 2024, 11:40 AM",30,0,0,0,0,0,0,33,34.8,78,89,1,1,203.45,-208.45,
"15 Apr 2024, 11:50 AM",30,0,0,0,0,0,0,35,35.1,79,92,1,1,200.73,-207.73,
"15 Apr 2024, 12:00 PM",30,56,59,83,51,72,71,70,34.8,80,90,1,1,197.74,-203.74,
"15 Apr 2024, 12:10 PM",30,58,59,83,51,72,71,71,33.3,81,96,1,1,202.10,-207.10,
"15 Apr 2024, 12:20 PM",30,58,59,82,51,72,71,72,33.2,81,97,1,1,197.02,-198.02,
"15 Apr 2024, 12:30 PM",30,58,59,83,51,72,71,37,33.0,82,97,1,1,201.90,-208.90,
"15 Apr 2024, 12:40 PM",30,58,59,83,51,72,71,35,33.0,83,95,1,1,198.89,-203.89,
"15 Apr 2024, 12:50 PM",30,58,59,83,51,72,71,37,33.5,83,95,1,1,204.11,-206.11,
"15 Apr 2024, 1:00 PM",30,58,59,81,51,72,71,37,33.5,83,95,1,1,199.50,-204.50,
"15 Apr 2024, 1:10 PM",30,58,59,83,51,72,71,34,33.5,82,91,1,1,200.25,-206.25,
"15 Apr 2024, 1:20 PM",30,58,59,82,51,72,70,34,33.5,83,92,1,1,201.77,-202.77,
"15 Apr 2024, 1:30 PM",30,58,59,83,51,72,71,2,33.5,84,93,1,1,204.10,-211.10,
"15 Apr 2024, 1:40 PM",30,58,59,83,51,70,72,35,33.5,84,94,1,1,193.28,-194.28,
"15 Apr 2024, 1:50 PM",30,58,59,82,51,72,72,35,33.5,84,92,1,1,188.01,-190.01,
"15 Apr 2024, 2:00 PM",30,58,59,83,51,72,72,34,33.5,93,95,1,1,185.42,-192.42,
"15 Apr 2024, 2:10 PM",30,58,59,83,51,72,72,34,34.6,83,93,1,1,186.44,-193.44,
"15 Apr 2024, 2:20 PM",30,56,59,83,51,72,72,35,35.3,83,93,1,1,189.30,-192.30,
"15 Apr 2024, 2:30 PM",30,56,59,83,51,72,72,36,33.5,79,95,1,1,193.60,-196.60,
"15 Apr 2024, 2:40 PM",30,56,59,83,51,72,72,36,33.5,79,95,1,1,186.94,-189.94,
"15 Apr 2024, 2:50 PM",30,56,59,83,51,72,72,36,28.5,79,92,1,1,186.33,-192.33,
"15 Apr 2024, 3:00 PM",30,56,59,83,51,72,72,35,28.5,79,90,1,1,187.95,-193.95,
"15 Apr 2024, 3:10 PM",30,56,57,81,51,72,72,34,28.5,77,92,1,1,186.24,-189.24,
"15 Apr 2024, 3:20 PM",30,56,56,83,51,72,72,34,28.5,78,93,1,1,185.55,-191.55,
"15 Apr 2024, 3:30 PM",30,56,56,81,51,72,70,33,28.5,78,90,1,1,186.69,-189.69,
"15 Apr 2024, 3:40 PM",30,56,57,81,51,72,72,2,28.5,78,92,1,1,187.39,-189.39,
"15 Apr 2024, 3:50 PM",30,56,56,81,51,72,70,35,28.5,77,92,1,1,188.82,-192.82,
"15 Apr 2024, 4:00 PM",30,56,59,81,51,70,72,34,28.5,77,90,1,1,190.01,-197.01,
"15 Apr 2024, 4:10 PM",30,56,59,83,51,70,72,33,28.5,77,93,1,1,185.90,-187.90,
"15 Apr 2024, 4:20 PM",30,56,59,82,51,70,72,33,28.5,76,94,1,1,187.92,-192.92,
"15 Apr 2024, 4:30 PM",30,56,59,83,51,69,69,34,28.5,77,95,1,1,189.10,-193.10,
"15 Apr 2024, 4:40 PM",30,56,59,81,51,72,70,33,28.5,75,95,1,1,185.92,-186.92,
"15 Apr 2024, 4:50 PM",30,56,59,81,51,72,69,33,28.5,75,95,1,1,185.45,-187.45,
"15 Apr 2024, 5:00 PM",30,56,59,81,51,72,72,33,28.5,75,95,1,1,194.74,-198.74,
"15 Apr 2024, 5:10 PM",30,56,59,83,51,72,72,32,28.5,75,95,1,1,187.55,-190.55,
"15 Apr 2024, 5:20 PM",30,56,59,81,51,72,72,32,28.5,75,95,1,1,185.81,-186.81,
"15 Apr 2024, 5:30 PM",30,56,59,81,51,72,72,28,28.5,75,95,1,1,186.89,-188.89,
"15 Apr 2024, 5:40 PM",30,56,56,81,51,71,72,28,28.5,76,95,1,1,186.93,-189.93,
"15 Apr 2024, 5:50 PM",30,56,59,81,51,72,72,27,28.5,76,95,1,1,187.82,-194.82,
"15 Apr 2024, 6:00 PM",30,56,56,81,51,72,72,27,28.5,74,95,1,1,190.23,-193.23,
"15 Apr 2024, 6:10 PM",30,56,56,81,51,70,72,29,28.5,75,95,1,1,186.05,-191.05,
"15 Apr 2024, 6:20 PM",30,56,59,83,51,71,70,29,28.5,76,95,1,1,191.74,-198.74,
"15 Apr 2024, 6:30 PM",30,56,59,82,51,72,72,28,28.5,76,95,1,1,187.67,-193.67,
"15 Apr 2024, 6:40 PM",30,56,59,83,51,72,72,28,28.5,76,95,1,1,190.17,-191.17,
"15 Apr 2024, 6:50 PM",30,56,59,81,51,72,72,27,28.5,74,95,1,1,185.81,-190.81,
"15 Apr 2024, 7:00 PM",30,56,59,81,51,72,72,30,28.5,74,95,1,1,192.52,-197.52,
