Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Buzzer (NIL),
"3 May 2024, 8:40 AM",20,39,32,161,29,107,114,32,31.0,73,46,1,1,,,
"3 May 2024, 8:50 AM",20,39,32,31,30,119,124,30,31.2,73,46,1,1,,,
"3 May 2024, 9:00 AM",20,36,35,165,33,106,125,31,30.3,72,46,1,1,,,
"3 May 2024, 9:10 AM",20,37,33,35,35,123,123,31,30.2,74,48,1,1,,,
"3 May 2024, 9:20 AM",20,38,36,34,30,122,118,33,31.0,73,46,1,1,,,
"3 May 2024, 9:30 AM",20,36,32,35,32,123,118,31,31.3,74,46,1,1,,,
"3 May 2024, 9:40 AM",20,39,32,32,36,119,122,32,31.2,74,46,1,1,,,
"3 May 2024, 9:50 AM",20,36,35,36,36,104,118,34,31.5,73,45,1,1,,,
"3 May 2024, 10:00 AM",20,35,31,30,34,118,122,33,31.5,74,46,1,1,,,
"3 May 2024, 10:10 AM",20,33,33,36,31,123,123,32,31.5,73,45,1,1,,,
"3 May 2024, 10:20 AM",20,34,32,35,34,122,116,33,31.5,73,45,1,1,,,
"3 May 2024, 10:30 AM",20,33,36,33,34,123,121,34,31.5,73,45,1,1,,,
"3 May 2024, 10:40 AM",20,35,31,30,36,115,121,32,31.5,74,46,1,1,,,
"3 May 2024, 10:50 AM",20,34,33,31,36,120,118,31,31.2,72,45,1,1,,,
"3 May 2024, 11:00 AM",20,33,31,30,35,125,118,34,31.2,74,46,1,1,,,
"3 May 2024, 11:10 AM",20,36,30,34,30,119,120,34,31.2,72,45,1,1,,,
"3 May 2024, 11:20 AM",20,35,30,31,30,120,119,30,31.2,74,46,1,1,,,
"3 May 2024, 11:30 AM",20,32,34,30,35,106,118,34,31.2,74,46,1,1,,,
"3 May 2024, 11:40 AM",20,36,35,35,32,109,122,30,31.2,73,46,1,1,,,
"3 May 2024, 11:50 AM",20,33,32,30,36,120,121,32,31.2,74,46,1,1,,,
"3 May 2024, 12:00 PM",20,32,36,31,36,119,112,46,31.2,73,46,1,1,,,
"3 May 2024, 12:10 PM",20,31,36,33,32,108,104,44,31.2,72,45,1,1,,,
"3 May 2024, 12:20 PM",20,31,33,32,31,118,122,43,31.4,72,46,1,1,,,
"3 May 2024, 12:30 PM",20,36,33,173,34,118,120,45,31.5,74,48,1,1,,,
"3 May 2024, 12:40 PM",20,36,33,163,34,122,121,45,31.1,72,46,1,1,,,
"3 May 2024, 12:50 PM",20,32,31,170,34,118,122,44,30.0,73,45,1,1,,,
"3 May 2024, 1:00 PM",20,32,31,164,31,120,120,44,30.0,73,47,1,1,,,
"3 May 2024, 1:10 PM",20,33,36,167,32,120,123,45,31.0,74,46,1,1,,,
"3 May 2024, 1:20 PM",20,36,30,169,30,121,112,43,30.4,73,47,1,1,,,
"3 May 2024, 1:30 PM",20,32,36,166,36,122,119,46,30.6,76,48,1,1,,,
"3 May 2024, 1:40 PM",20,33,38,170,31,123,120,43,30.6,72,45,1,1,,,
"3 May 2024, 1:50 PM",20,33,38,163,30,118,123,47,30.8,82,53,1,1,,,
"3 May 2024, 2:00 PM",20,36,38,163,32,120,118,43,30.3,77,48,1,1,,,
"3 May 2024, 2:10 PM",20,33,36,173,35,122,119,44,31.1,78,49,1,1,,,
"3 May 2024, 2:20 PM",20,32,38,173,34,108,120,47,30.9,76,48,1,1,,,
"3 May 2024, 2:30 PM",20,32,38,164,35,118,119,45,30.3,75,47,1,1,,,
"3 May 2024, 2:40 PM",20,36,39,169,32,123,122,45,30.9,72,46,1,1,,,
"3 May 2024, 2:50 PM",20,34,37,167,33,120,123,43,31.0,76,47,1,1,,,
"3 May 2024, 3:00 PM",20,34,39,164,32,122,120,47,30.2,76,49,1,1,,,
"3 May 2024, 3:10 PM",20,36,38,172,31,123,125,45,30.8,75,47,1,1,,,
"3 May 2024, 3:20 PM",20,31,38,164,34,115,119,43,30.8,74,47,1,1,,,
"3 May 2024, 3:30 PM",20,35,37,172,32,118,122,43,28.9,81,55,1,1,,,
"3 May 2024, 3:40 PM",20,34,38,165,33,119,143,46,28.6,82,56,1,1,,,
"3 May 2024, 3:50 PM",20,36,37,167,30,122,123,47,28.6,73,50,1,1,,,
"3 May 2024, 4:00 PM",20,30,36,164,33,118,119,46,28.6,73,50,1,1,,,
"3 May 2024, 4:10 PM",20,30,38,169,30,125,118,43,28.6,80,55,1,1,,,
"3 May 2024, 4:20 PM",20,34,37,170,34,122,122,45,28.6,76,52,1,1,,,
"3 May 2024, 4:30 PM",20,33,38,172,36,118,119,44,28.9,77,52,1,1,,,
"3 May 2024, 4:40 PM",20,30,37,172,34,112,122,44,28.9,75,51,1,1,,,
"3 May 2024, 4:50 PM",20,36,37,166,33,118,123,45,28.9,80,54,1,1,,,
"3 May 2024, 5:00 PM",20,34,38,172,32,125,122,47,28.7,76,52,1,1,,,
"3 May 2024, 5:10 PM",20,34,37,166,32,118,121,44,28.9,76,51,1,1,,,
