,hourly_interval,Soil - EC,Soil - Moisture,Soil - Nitrogen,Soil - PH,Soil - Phosphorus,Soil - Potassium,Soil - Temperature,feed
1,2024-07-18 12:00:00,10.5,0.0,58.75,1.65,0.0,194.25,29.5,15g coffee grinds
3,2024-07-18 12:10:00,8.833333333333334,1.0,67.83333333333333,3.4333333333333336,0.0,129.5,29.11666666666667,15g egg carton cardboard
4,2024-07-18 12:10:00,9.75,0.0,35.5,1.425,0.0,194.25,29.2,"7.5g coffee grinds, 7.5g egg carton cardboard"
5,2024-07-18 12:10:00,95.6,1.0,12.0,5.68,0.0,0.0,26.06,"7.5g coffee grinds, 15g egg carton cardboard"
10,2024-07-19 05:40:00,6.0,0.0,114.25,1.75,0.0,194.25,29.125,"7.5g coffee grinds, 15g egg carton cardboard"
11,2024-07-19 05:40:00,11.75,1.0,169.5,2.0,0.0,194.25,28.8,"7.5g coffee grinds, 15g egg carton cardboard"
12,2024-07-19 05:40:00,11.5,0.0,141.5,1.625,0.0,194.25,28.9,"7.5g coffee grinds, 15g egg carton cardboard"
13,2024-07-19 05:40:00,11.25,0.0,43.25,1.825,0.0,194.25,29.6,"7.5g coffee grinds, 15g egg carton cardboard"
14,2024-07-22 04:30:00,77.3076923076923,0.0,137.30769230769232,6.915384615384616,176.53846153846155,215.7692307692308,30.861538461538466,7.5g egg carton cardboard
15,2024-07-22 04:30:00,30.88888888888889,0.0,85.0,8.933333333333334,141.66666666666666,198.3333333333333,29.0,7.5g egg shell
16,2024-07-22 04:30:00,38.0,0.0,36.42857142857143,6.414285714285714,109.28571428571428,182.1428571428572,29.0,"7.5g coffee grinds, 7.5g egg carton cardboard"
17,2024-07-22 04:30:00,38.6,0.0,0.0,8.08,51.0,153.0,29.7,"7.5g coffee grinds, 15g egg carton cardboard"
18,2024-07-22 04:40:00,29.84210526315789,0.0,59.21052631578947,5.08421052631579,80.52631578947368,81.57894736842105,36.12105263157895,7.5g egg carton cardboard
19,2024-07-22 04:40:00,68.05,0.0,80.9,6.660000000000001,127.5,128.5,36.775,7.5g egg shell
20,2024-07-22 04:40:00,73.6842105263158,0.0,144.26315789473685,4.789473684210527,161.05263157894737,162.10526315789474,37.142105263157895,"7.5g coffee grinds, 7.5g egg carton cardboard"
21,2024-07-22 04:40:00,72.2,0.0,145.5,6.3,178.5,179.5,37.19,"7.5g coffee grinds, 15g egg carton cardboard"
34,2024-07-22 06:00:00,82.85714285714286,0.0,145.71428571428572,6.935714285714286,182.1428571428572,218.57142857142856,32.66428571428572,7.5g egg carton cardboard
35,2024-07-22 06:00:00,111.92857142857144,0.0,151.92857142857142,7.928571428571429,182.1428571428572,218.57142857142856,31.092857142857145,7.5g egg shell
36,2024-07-22 06:00:00,93.57142857142856,0.0,145.71428571428572,6.778571428571429,182.1428571428572,218.57142857142856,32.4,"7.5g coffee grinds, 7.5g egg carton cardboard"
37,2024-07-22 06:00:00,97.07142857142856,0.0,145.71428571428572,5.521428571428571,182.1428571428572,218.57142857142856,32.07142857142857,"7.5g coffee grinds, 15g egg carton cardboard"
38,2024-07-22 06:10:00,10.6,0.0,39.75,5.325,63.75,64.75,34.985,7.5g egg carton cardboard
39,2024-07-22 06:10:00,21.75,0.0,39.95,6.43,63.75,64.75,35.11,7.5g egg shell
40,2024-07-22 06:10:00,21.75,0.0,45.75,5.175,63.75,64.75,34.795,"7.5g coffee grinds, 7.5g egg carton cardboard"
41,2024-07-22 06:10:00,25.27777777777778,0.0,51.27777777777778,4.005555555555556,70.83333333333333,71.94444444444444,35.138888888888886,"7.5g coffee grinds, 15g egg carton cardboard"
57,2024-07-22 06:50:00,33.36,0.0,0.0,5.672000000000001,10.2,10.2,29.492000000000004,"7.5g coffee grinds, 15g egg carton cardboard"
61,2024-07-22 07:00:00,35.810810810810814,0.0,34.13513513513514,5.216216216216216,0.0,28.0,30.22702702702703,"7.5g coffee grinds, 15g egg carton cardboard"
129,2024-07-22 09:50:00,33.4054054054054,0.0,0.0,6.1378378378378375,0.0,6.891891891891892,29.905405405405407,"7.5g coffee grinds, 15g egg carton cardboard"
133,2024-07-22 10:00:00,42.375,0.0,7.96875,6.490625,7.96875,7.96875,29.9375,"7.5g coffee grinds, 15g egg carton cardboard"
137,2024-07-22 10:10:00,45.14705882352941,0.0,13.529411764705882,6.5,7.5,15.117647058823527,31.46470588235294,"7.5g coffee grinds, 15g egg carton cardboard"
141,2024-07-22 10:20:00,39.55263157894737,0.0,18.36842105263158,5.521052631578947,0.0,13.63157894736842,29.950000000000003,"7.5g coffee grinds, 15g egg carton cardboard"
652,2024-07-23 08:00:00,174.15384615384616,1.0,137.30769230769232,5.546153846153846,185.46153846153845,219.0,31.53076923076923,"7.5g coffee grinds, 15g egg carton cardboard"
653,2024-07-23 08:00:00,118.26666666666668,0.0,138.0,6.453333333333333,187.0,221.26666666666668,34.46,"7.5g coffee grinds, 15g egg carton cardboard"
654,2024-07-23 08:00:00,80.5,0.0,154.75,5.90625,191.25,223.625,35.425,"7.5g coffee grinds, 15g egg carton cardboard"
655,2024-07-23 08:00:00,83.87096774193549,0.0,8.225806451612904,5.951612903225806,9.64516129032258,8.419354838709678,30.6483870967742,"7.5g coffee grinds, 15g egg carton cardboard"
656,2024-07-23 08:10:00,115.47368421052632,1.0,80.52631578947368,5.4789473684210535,100.36842105263158,95.94736842105264,36.63684210526316,"7.5g coffee grinds, 15g egg carton cardboard"
657,2024-07-23 08:10:00,62.10526315789474,0.0,10.947368421052632,5.605263157894737,53.68421052631579,54.526315789473685,34.642105263157895,"7.5g coffee grinds, 15g egg carton cardboard"
658,2024-07-23 08:10:00,22.73684210526316,0.0,33.26315789473684,5.684210526315789,40.26315789473684,40.89473684210526,33.49473684210526,"7.5g coffee grinds, 15g egg carton cardboard"
659,2024-07-23 08:10:00,71.54054054054055,0.0,0.0,6.386486486486486,3.4324324324324325,21.62162162162162,29.967567567567567,"7.5g coffee grinds, 15g egg carton cardboard"
660,2024-07-23 08:20:00,148.75,1.0,0.0,5.2700000000000005,28.75,20.75,30.0,"7.5g coffee grinds, 15g egg carton cardboard"
663,2024-07-23 08:20:00,85.48717948717949,0.0,0.0,6.541025641025641,4.615384615384615,0.5128205128205128,30.16153846153846,"7.5g coffee grinds, 15g egg carton cardboard"
664,2024-07-23 08:30:00,148.3684210526316,1.0,0.0,5.131578947368421,28.36842105263158,20.36842105263158,30.00526315789474,"7.5g coffee grinds, 15g egg carton cardboard"
667,2024-07-23 08:30:00,86.83783783783784,0.0,0.0,6.675675675675675,4.54054054054054,0.4324324324324324,30.164864864864864,"7.5g coffee grinds, 15g egg carton cardboard"
668,2024-07-23 08:40:00,149.0,1.0,0.0,5.01,29.0,21.0,30.025,"7.5g coffee grinds, 15g egg carton cardboard"
671,2024-07-23 08:40:00,84.84615384615384,0.0,0.0,6.551282051282051,4.102564102564102,0.0,30.184615384615388,"7.5g coffee grinds, 15g egg carton cardboard"
672,2024-07-23 08:50:00,148.3684210526316,1.0,0.0,4.931578947368421,28.36842105263158,20.36842105263158,30.094736842105267,"7.5g coffee grinds, 15g egg carton cardboard"
673,2024-07-23 08:50:00,91.36842105263158,0.0,0.0,7.0,0.8947368421052632,0.0,30.28421052631579,"7.5g coffee grinds, 15g egg carton cardboard"
675,2024-07-23 08:50:00,84.42105263157895,0.0,0.0,6.610526315789474,4.0,0.0,30.23157894736842,"7.5g coffee grinds, 15g egg carton cardboard"
