Date,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,pH values of worm feed
15 January 2024,"50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells",6.5
16 January 2024,,"40g of distilled water, 20g of cardboard",,,20g of cardboard,
17 January 2024,40g of distilled water,40g of distilled water,,"40g of distilled water, 20g of cardboard",40g of distilled water,
18 January 2024,20g of cardboard,,,,,
19 January 2024,"100g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells",8.0
20 January 2024,,,,,40g of distilled water,
21 January 2024,40g of distilled water,40g of distilled water,40g of distilled water,"40g of distilled water, 20g of cardboard",40g of distilled water,
22 January 2024,,,,,,
23 January 2024,"100g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 3 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 3 spoon of fresh mint leaves, 5g of crushed eggshells",7.5
24 January 2024,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,
25 January 2024,,,,,,
26 January 2024,,,20g of cardboard,,,
27 January 2024,"100g of distilled water, 3 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 3 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 3 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 3 spoon of fresh mint leaves, 5g of crushed eggshells","100g of distilled water, 3 spoon of fresh mint leaves, 5g of crushed eggshells",7.3
28 January 2024,,20g of cardboard,,20g of cardboard,,
29 January 2024,,,,,,
30 January 2024,40g of distilled water,40g of distilled water,,,40g of distilled water,
31 January 2024,,,,,,
1 February 2024,"45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)
5g of crushed eggshells, 20g of cardboard","45g of distilled water
1 spoon of chye sim (dried)
5g of crushed eggshells","45g of distilled water
1 spoon of chye sim (dried)
5g of crushed eggshells","45g of distilled water
1 spoon of chye sim (dried)
5g of crushed eggshells",5.2
2 February 2024,,,,,,
3 February 2024,,,40g of distilled water,,,
4 February 2024,20g of cardboard,40g of distilled water,,40g of distilled water,,
5 February 2024,20g of cardboard,,,,,
6 February 2024,,,,,,
7 February 2024,"45g distilled water, 1 spoon of dried tomato skins, 4g of crushed eggshells","49g of distilled water, 1 spoon of dried celery leaves, 5g of crushed eggshells","49g of distilled water, 1 spoon of dried celery leaves, 5g of crushed eggshells","49g of distilled water, 1 spoon of dried celery leaves, 5g of crushed eggshells","49g of distilled water, 1 spoon of dried celery leaves, 5g of crushed eggshells",6.7
8 February 2024,,,,,,
9 February 2024,,,,40g of distilled water,,
10 February 2024,,"40g of distilled water, 20g of cardboard",,,,
11 February 2024,,,,,,
12 February 2024,,,,,,
13 February 2024,"50g distilled water, 1 spoon of dried cucumber peels, 5g of crushed eggshells","7.5g coffee grounds
2 brown leaves
50g water
20g of cardboard","7.5g coffee grounds
2 brown leaves
50g water","7.5g coffee grounds
2 brown leaves
100g water","7.5g coffee grounds
2 brown leaves
100g water",7.4
14 February 2024,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,
15 February 2024,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,
16 February 2024,,,,,,
17 February 2024,,,,,,
18 February 2024,,,,,,
