Date,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,pH values of worm feed
13 September 2023,"50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of fresh mint leaves, 5g of crushed eggshells",NO TANK,NO TANK,5.2
14 September 2023,,,40g of distilled water,,,
15 September 2023,,,,,,
16 September 2023,,40g of distilled water,,,,
17 September 2023,"50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells, 10g of coffee grounds","70g of distilled water, 1 spoon of dried mango skins",,,6.4
18 September 2023,,,,,,
19 September 2023,,40g of distilled water,,,,
20 September 2023,"50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","70g of distilled water, 1 spoon of dried mango skins",,,8.1
21 September 2023,,,40g of distilled water,,,
22 September 2023,,,,,,
23 September 2023,40g of distilled water,,,,,
24 September 2023,,,,,,
25 September 2023,"45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)",,,7.4
26 September 2023,,,,,,
27 September 2023,,40g of distilled water,,,,
28 September 2023,40g of distilled water,,40g of distilled water,,,
29 September 2023,,,,,,
30 September 2023,,,,,,
1 October 2023,"45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)",,,7.9
2 October 2023,,40g of distilled water,,,,
3 October 2023,,40g of distilled water,40g of distilled water,,,
4 October 2023,40g of distilled water,,,,,
5 October 2023,,,,,,
6 October 2023,"45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)",,,7.8
7 October 2023,,,,,,
8 October 2023,40g of distilled water,40g of distilled water,40g of distilled water,,,
9 October 2023,,,,,,
10 October 2023,"45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)","45g of distilled water
1 spoon of chye sim (dried)",5.5
11 October 2023,,40g of distilled water,,,,
12 October 2023,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,
13 October 2023,40g of distilled water,,,,40g of distilled water,
14 October 2023,,40g of distilled water,40g of distilled water,40g of distilled water,,
15 October 2023,,,,,,
16 October 2023,"49g of distilled water, 1 spoon of dried mango skins,","70g of distilled water, 1 spoon of dried mango skins","70g of distilled water, 1 spoon of dried mango skins","70g of distilled water, 1 spoon of dried mango skins","70g of distilled water, 1 spoon of dried mango skins",7.7
17 October 2023,,40g of distilled water,,,,
18 October 2023,40g of distilled water,,40g of distilled water,40g of distilled water,40g of distilled water,
19 October 2023,,40g of distilled water,,,,
20 October 2023,,,,,,
21 October 2023,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,
22 October 2023,,,,,,
23 October 2023,,,,,,
24 October 2023,"50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)","100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)",6.7
25 October 2023,,,,,,
26 October 2023,,,,,,
27 October 2023,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,
28 October 2023,,,,,,
29 October 2023,,,,,,
30 October 2023,,,,,,
31 October 2023,"50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells","50g of distilled water, 1 spoon of dried pea pods, 6g of crushed eggshells","100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)","100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)","100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)",8.2
1 November 2023,,,,,,
2 November 2023,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,
3 November 2023,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,
4 November 2023,,,,,,
5 November 2023,"50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells","50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells","50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells","50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells","50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells",7.6
6 November 2023,,,,,,
7 November 2023,,,,,,
8 November 2023,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,20g of cardboard,
9 November 2023,,,,,,
10 November 2023,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,
11 November 2023,,,,,,
