Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Buzzer,Compost Notes
"6 Apr 2024, 10:00 AM",14,?,?,?,?,?,?,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:01 AM",14,?,?,?,?,?,?,NaN,27.4,97,42,1,1,,Off,
"6 Apr 2024, 10:02 AM",14,?,?,?,?,?,?,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:03 AM",14,?,?,?,?,?,?,NaN,27.4,96,42,1,1,,Off,
"6 Apr 2024, 10:04 AM",14,?,?,?,?,?,?,NaN,27.4,93,42,1,1,,Off,
"6 Apr 2024, 10:05 AM",14,?,?,?,?,?,?,NaN,27.4,99,42,1,1,,Off,
"6 Apr 2024, 10:06 AM",14,?,?,?,?,?,?,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:07 AM",14,163,142,132,156,165,151,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:08 AM",14,172,153,156,181,133,186,NaN,27.4,93,42,1,1,,Off,
"6 Apr 2024, 10:09 AM",14,180,138,168,168,166,172,NaN,27.4,97,42,1,1,,Off,Keep buzzer off
"6 Apr 2024, 10:10 AM",14,139,166,179,182,171,167,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:11 AM",14,149,174,142,144,144,158,NaN,27.4,97,42,1,1,,Off,
"6 Apr 2024, 10:12 AM",14,132,163,187,187,142,183,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:13 AM",14,158,139,188,153,141,143,NaN,27.4,96,42,1,1,,Off,
"6 Apr 2024, 10:14 AM",14,142,163,178,130,143,178,NaN,27.4,97,42,1,1,,Off,
"6 Apr 2024, 10:15 AM",14,182,182,132,140,154,144,NaN,27.4,95,42,1,1,,Off,
"6 Apr 2024, 10:16 AM",14,176,187,130,177,180,154,NaN,27.4,97,42,1,1,,Off,
"6 Apr 2024, 10:17 AM",14,181,174,173,149,153,167,NaN,27.4,93,42,1,1,,Off,
"6 Apr 2024, 10:18 AM",14,159,134,182,135,166,183,NaN,27.4,96,42,1,1,,Off,
"6 Apr 2024, 10:19 AM",14,155,183,176,179,136,166,NaN,27.4,95,42,1,1,,Off,
"6 Apr 2024, 10:20 AM",14,147,182,163,176,156,155,NaN,27.4,97,42,1,1,,Off,
"6 Apr 2024, 10:21 AM",14,184,179,138,144,175,141,NaN,27.4,99,42,1,1,,Off,
"6 Apr 2024, 10:22 AM",14,130,173,144,143,166,170,NaN,27.4,95,42,1,1,,Off,
"6 Apr 2024, 10:23 AM",14,158,160,170,135,176,132,NaN,27.4,96,42,1,1,,Off,
"6 Apr 2024, 10:24 AM",14,142,149,169,152,146,136,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:25 AM",14,154,144,165,143,172,172,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:26 AM",14,131,190,184,173,130,180,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:27 AM",14,152,185,162,142,172,153,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:28 AM",14,132,170,157,159,175,174,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:29 AM",14,171,173,131,150,145,158,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:30 AM",14,154,180,173,172,156,177,NaN,27.4,93,42,1,1,,Off,
"6 Apr 2024, 10:31 AM",14,130,162,188,175,140,136,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:32 AM",14,151,190,171,177,136,136,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:33 AM",14,149,133,160,138,161,129,NaN,27.4,95,42,1,1,,Off,
"6 Apr 2024, 10:34 AM",14,183,161,131,161,154,150,NaN,27.4,95,42,1,1,,Off,
