devicename,deviceid,hourly_interval,Soil - EC,Soil - Moisture,Soil - Nitrogen,Soil - PH,Soil - Phosphorus,Soil - Potassium,Soil - Temperature,feed
NDS006,9,2024-07-18 12:00:00,38.0,9.15,0.0,5.75,0.0,0.0,29.2,
NDS006,9,2024-07-18 12:10:00,9.75,6.975,35.5,1.425,0.0,194.25,29.2,
NDS006,9,2024-07-19 05:30:00,45.0,8.05,0.0,6.5,0.0,0.0,28.9,
NDS006,9,2024-07-19 05:40:00,11.5,7.675,141.5,1.625,0.0,194.25,28.9,
NDS006,9,2024-07-22 04:30:00,38.0,8.671428571428573,36.42857142857143,6.414285714285714,109.28571428571428,182.14285714285717,29.0,
NDS006,9,2024-07-22 04:40:00,73.6842105263158,8.763157894736842,144.26315789473685,4.789473684210527,161.05263157894737,162.10526315789474,37.142105263157895,
NDS006,9,2024-07-22 04:50:00,38.0,8.870000000000001,0.0,6.5,0.0,0.0,29.055,
NDS006,9,2024-07-22 05:00:00,38.0,8.163157894736841,0.0,6.5,0.0,0.0,29.1,
NDS006,9,2024-07-22 05:10:00,38.0,9.216666666666669,0.0,6.5,0.0,0.0,29.11666666666667,
NDS006,9,2024-07-22 06:00:00,93.57142857142856,9.15,145.71428571428572,6.778571428571429,182.14285714285717,218.57142857142856,32.4,
NDS006,9,2024-07-22 06:10:00,21.75,9.04,45.75,5.175,63.75,64.75,34.795,
NDS006,9,2024-07-22 06:20:00,29.0,9.93684210526316,0.0,6.9,0.0,0.0,29.4,
NDS006,9,2024-07-22 06:30:00,29.0,9.726315789473684,0.0,6.805263157894737,0.0,0.0,29.468421052631577,
NDS006,9,2024-07-22 06:40:00,29.4,10.24,0.0,6.8,0.0,0.0,29.56,
NDS006,9,2024-07-22 06:50:00,30.0,9.452631578947368,0.0,6.8,0.0,0.0,29.6,
NDS006,9,2024-07-22 07:00:00,30.0,9.865,0.0,6.8,0.0,0.0,29.655,
NDS006,9,2024-07-22 07:10:00,30.0,9.45,0.0,6.8,0.0,0.0,29.700000000000003,
NDS006,9,2024-07-22 07:20:00,30.0,10.69,0.0,6.8,0.0,0.0,29.7,
NDS006,9,2024-07-22 07:30:00,30.0,9.43157894736842,0.0,6.847368421052631,0.0,0.0,29.73157894736842,
NDS006,9,2024-07-22 07:40:00,30.0,9.6,0.0,6.9,0.0,0.0,29.789473684210527,
NDS006,9,2024-07-22 07:50:00,30.0,9.53,0.0,6.9,0.0,0.0,29.8,
NDS006,9,2024-07-22 08:00:00,30.0,10.342105263157896,0.0,6.9,0.0,0.0,29.805263157894736,
NDS006,9,2024-07-22 08:10:00,30.0,9.865,0.0,6.9,0.0,0.0,29.845,
NDS006,9,2024-07-22 08:20:00,30.105263157894736,9.852631578947369,0.0,6.9,0.0,0.0,29.86842105263158,
NDS006,9,2024-07-22 08:30:00,30.4,10.0,0.0,6.9,0.0,0.0,29.895,
NDS006,9,2024-07-22 08:40:00,30.73684210526316,10.331578947368422,0.0,6.9,0.0,0.0,29.9,
NDS006,9,2024-07-22 08:50:00,30.9,9.325,0.0,6.9,0.0,0.0,29.9,
NDS006,9,2024-07-22 09:00:00,31.0,9.15263157894737,0.0,6.9,0.0,0.0,29.9,
NDS006,9,2024-07-22 09:10:00,30.95,10.175,0.0,6.9,0.0,0.0,29.9,
NDS006,9,2024-07-22 09:20:00,31.0,9.036842105263156,0.0,6.9,0.0,0.0,29.9,
NDS006,9,2024-07-22 09:30:00,31.0,10.047368421052632,0.0,6.9,0.0,0.0,29.894736842105264,
NDS006,9,2024-07-22 09:40:00,31.0,10.015,0.0,6.9,0.0,0.0,29.895,
NDS006,9,2024-07-22 09:50:00,31.0,9.536842105263156,0.0,6.9,0.0,0.0,29.889473684210525,
NDS006,9,2024-07-22 10:00:00,31.0,10.063157894736843,0.0,6.9,0.0,0.0,29.85263157894737,
NDS006,9,2024-07-22 10:10:00,31.0,9.3,0.0,6.9,0.0,0.0,29.85,
NDS006,9,2024-07-22 10:20:00,31.0,10.947368421052632,0.0,6.9,0.0,0.0,29.847368421052632,
NDS006,9,2024-07-22 10:30:00,31.0,10.06315789473684,0.0,6.9,0.0,0.0,29.836842105263155,
NDS006,9,2024-07-22 10:40:00,31.0,9.445,0.0,6.9,0.0,0.0,29.87,
NDS006,9,2024-07-22 10:50:00,31.0,9.547368421052632,0.0,6.9,0.0,0.0,29.836842105263155,
NDS006,9,2024-07-22 11:00:00,31.0,10.265,0.0,6.9,0.0,0.0,29.825,
